"ProductID","Name","ProductNumber","Color","StandardCost","ListPrice","Size","Weight","ProductSubcategoryID"
680,"HL Road Frame - Black, 58","FR-R92B-58","Black",1059.31,1431.5,"58",2.24,14
706,"HL Road Frame - Red, 58","FR-R92R-58","Red",1059.31,1431.5,"58",2.24,14
707,"Sport-100 Helmet, Red","HL-U509-R","Red",13.0863,34.99,"44",61.3342929292929,31
708,"Sport-100 Helmet, Black","HL-U509","Black",13.0863,34.99,"44",61.3342929292929,31
709,"Mountain Bike Socks, M","SO-B909-M","White",3.3963,9.5,"M",61.3342929292929,23
710,"Mountain Bike Socks, L","SO-B909-L","White",3.3963,9.5,"L",61.3342929292929,23
711,"Sport-100 Helmet, Blue","HL-U509-B","Blue",13.0863,34.99,"44",61.3342929292929,31
712,"AWC Logo Cap","CA-1098","Multi",6.9223,8.99,"44",61.3342929292929,19
713,"Long-Sleeve Logo Jersey, S","LJ-0192-S","Multi",38.4923,49.99,"S",61.3342929292929,21
714,"Long-Sleeve Logo Jersey, M","LJ-0192-M","Multi",38.4923,49.99,"M",61.3342929292929,21
715,"Long-Sleeve Logo Jersey, L","LJ-0192-L","Multi",38.4923,49.99,"L",61.3342929292929,21
716,"Long-Sleeve Logo Jersey, XL","LJ-0192-X","Multi",38.4923,49.99,"XL",61.3342929292929,21
717,"HL Road Frame - Red, 62","FR-R92R-62","Red",868.6342,1431.5,"62",2.3,14
718,"HL Road Frame - Red, 44","FR-R92R-44","Red",868.6342,1431.5,"44",2.12,14
719,"HL Road Frame - Red, 48","FR-R92R-48","Red",868.6342,1431.5,"48",2.16,14
720,"HL Road Frame - Red, 52","FR-R92R-52","Red",868.6342,1431.5,"52",2.2,14
721,"HL Road Frame - Red, 56","FR-R92R-56","Red",868.6342,1431.5,"56",2.24,14
722,"LL Road Frame - Black, 58","FR-R38B-58","Black",204.6251,337.22,"58",2.46,14
723,"LL Road Frame - Black, 60","FR-R38B-60","Black",204.6251,337.22,"60",2.48,14
724,"LL Road Frame - Black, 62","FR-R38B-62","Black",204.6251,337.22,"62",2.5,14
725,"LL Road Frame - Red, 44","FR-R38R-44","Red",187.1571,337.22,"44",2.32,14
726,"LL Road Frame - Red, 48","FR-R38R-48","Red",187.1571,337.22,"48",2.36,14
727,"LL Road Frame - Red, 52","FR-R38R-52","Red",187.1571,337.22,"52",2.4,14
728,"LL Road Frame - Red, 58","FR-R38R-58","Red",187.1571,337.22,"58",2.46,14
729,"LL Road Frame - Red, 60","FR-R38R-60","Red",187.1571,337.22,"60",2.48,14
730,"LL Road Frame - Red, 62","FR-R38R-62","Red",187.1571,337.22,"62",2.5,14
731,"ML Road Frame - Red, 44","FR-R72R-44","Red",352.1394,594.83,"44",2.22,14
732,"ML Road Frame - Red, 48","FR-R72R-48","Red",352.1394,594.83,"48",2.26,14
733,"ML Road Frame - Red, 52","FR-R72R-52","Red",352.1394,594.83,"52",2.3,14
734,"ML Road Frame - Red, 58","FR-R72R-58","Red",352.1394,594.83,"58",2.36,14
735,"ML Road Frame - Red, 60","FR-R72R-60","Red",352.1394,594.83,"60",2.38,14
736,"LL Road Frame - Black, 44","FR-R38B-44","Black",204.6251,337.22,"44",2.32,14
737,"LL Road Frame - Black, 48","FR-R38B-48","Black",204.6251,337.22,"48",2.36,14
738,"LL Road Frame - Black, 52","FR-R38B-52","Black",204.6251,337.22,"52",2.4,14
739,"HL Mountain Frame - Silver, 42","FR-M94S-42","Silver",747.2002,1364.5,"42",2.72,12
740,"HL Mountain Frame - Silver, 44","FR-M94S-44","Silver",706.811,1364.5,"44",2.76,12
741,"HL Mountain Frame - Silver, 48","FR-M94S-52","Silver",706.811,1364.5,"48",2.8,12
742,"HL Mountain Frame - Silver, 46","FR-M94S-46","Silver",747.2002,1364.5,"46",2.84,12
743,"HL Mountain Frame - Black, 42","FR-M94B-42","Black",739.041,1349.6,"42",2.72,12
