"","Area","MajorAxisLength","MinorAxisLength","Eccentricity","ConvexArea","Extent","Perimeter","Class"
"2",75166,406.690687,243.0324363,0.801805234,78789,0.68412957,1121.786,"Kecimen"
"4",45928,286.5405586,208.7600423,0.684989217,47336,0.699599385,844.162,"Kecimen"
"5",79408,352.1907699,290.8275329,0.56401133,81463,0.792771926,1073.251,"Kecimen"
"8",60952,332.4554716,235.429835,0.706057518,62329,0.74359819,933.366,"Kecimen"
"11",80437,449.4545811,232.3255064,0.856042518,84460,0.674235757,1176.305,"Kecimen"
"16",33565,261.5543311,167.7084908,0.767374275,35794,0.68155052,751.413,"Kecimen"
"20",70699,418.6985723,216.5960537,0.855799392,72363,0.728075054,1061.321,"Kecimen"
"21",69726,354.1769124,252.529208,0.701160962,71849,0.734398534,1035.501,"Kecimen"
"24",61251,301.5077895,273.6599414,0.419753707,64732,0.643595671,971.769,"Kecimen"
"26",75620,368.2242844,263.4592554,0.698627251,77493,0.726277372,1059.186,"Kecimen"
"31",88745,429.770355,265.6902361,0.786009488,90715,0.752063524,1162.877,"Kecimen"
"32",41809,307.5327392,175.085568,0.822113695,43838,0.697444367,828.697,"Kecimen"
"34",61600,350.1827545,225.8427713,0.764243075,63397,0.746829611,972.472,"Kecimen"
"37",55827,305.298843,234.6612245,0.639696077,57724,0.703287982,926.095,"Kecimen"
"50",52623,311.9967579,218.0411235,0.7152614,54175,0.675190536,902.624,"Kecimen"
"53",65727,403.1942717,210.0732642,0.853542978,67372,0.616981132,1030.155,"Kecimen"
"58",53006,333.3813698,206.8807081,0.784164747,55456,0.691695375,936.371,"Kecimen"
"59",69060,328.4888612,275.8888648,0.542783247,72223,0.727023897,1039.551,"Kecimen"
"65",60462,373.3428463,208.1086262,0.830230914,62213,0.665683112,990.547,"Kecimen"
"67",54056,332.2676409,208.6190158,0.778322762,55539,0.674553259,912.153,"Kecimen"
"68",89235,443.5159353,258.9467393,0.811861615,91201,0.655190643,1179.694,"Kecimen"
"69",51727,321.1271422,208.7667575,0.759843328,52913,0.751889645,903.308,"Kecimen"
"71",95347,451.5261542,280.2261534,0.784111496,99256,0.674956111,1255.245,"Kecimen"
"73",69006,379.3178462,241.8502909,0.77037364,72895,0.697453002,1086.857,"Kecimen"
"84",98935,387.5169377,326.8987235,0.537014933,100747,0.740420596,1176.6,"Kecimen"
"87",71266,390.707154,235.6868033,0.797566261,73002,0.66062887,1034.183,"Kecimen"
"88",39457,267.5569406,188.7651659,0.708695988,40472,0.697576154,755.822,"Kecimen"
"89",35237,267.5537786,173.5251032,0.761162183,37418,0.706832223,750.909,"Kecimen"
"97",79661,360.0734473,282.7390316,0.619209281,81032,0.779156886,1045.658,"Kecimen"
"104",55306,353.1546092,204.126836,0.816029801,57396,0.743990207,973.259,"Kecimen"
"106",44247,319.7903082,178.6479431,0.829409642,45872,0.677637221,842.121,"Kecimen"
"107",48945,269.3704112,239.1621656,0.460121209,51456,0.711244478,872.289,"Kecimen"
"111",81572,393.716176,265.8146124,0.737687128,84964,0.698270844,1187.338,"Kecimen"
"114",50545,286.8713324,227.1597173,0.610712677,51771,0.835454545,847.664,"Kecimen"
"115",94063,448.1210966,276.607844,0.786758156,99085,0.70929382,1259.451,"Kecimen"
"118",90176,390.207341,294.7622385,0.65526509,91793,0.762549046,1136.669,"Kecimen"
"126",54316,351.8052608,198.4175196,0.825776045,55960,0.655895281,930.627,"Kecimen"
"132",70788,362.6507703,249.4037249,0.725972018,71954,0.7461579,1003.769,"Kecimen"
"134",52051,313.7032602,213.6317375,0.732283957,53550,0.695051277,893.451,"Kecimen"
"137",97026,455.9715909,273.0538098,0.800869044,99561,0.671204732,1212.667,"Kecimen"
"138",58495,368.7395425,205.7578712,0.829838749,61496,0.630103195,998.437,"Kecimen"
"139",53758,359.5316125,193.4008772,0.842992995,57197,0.710295439,965.068,"Kecimen"
"145",46742,303.5552029,199.4459327,0.753861393,48077,0.70526284,847.792,"Kecimen"
"150",66568,342.2503611,249.5505,0.684358117,68078,0.759917351,993.455,"Kecimen"
"151",45264,290.5883604,203.3191422,0.714455428,48142,0.656913967,879.832,"Kecimen"
"167",51683,325.2398678,208.9148245,0.766419171,54510,0.728442565,928.217,"Kecimen"
"173",58741,345.4854484,222.3818455,0.765295307,60701,0.714819412,948.233,"Kecimen"
"174",68627,411.8885236,216.8939999,0.850122963,70932,0.738242255,1097.292,"Kecimen"
"179",39941,251.8477358,208.4681478,0.561090145,41594,0.70757157,777.663,"Kecimen"
"181",87858,441.224088,255.6622254,0.815015963,90905,0.708726586,1176.287,"Kecimen"
"183",63968,333.0124213,247.8885463,0.66775371,65403,0.756999834,953.445,"Kecimen"
"189",69024,372.8219867,237.6598183,0.770481865,70649,0.721042955,1015.771,"Kecimen"
"190",78982,421.1618485,241.6404129,0.819032478,81442,0.753436549,1102.423,"Kecimen"
"193",37569,232.4278475,208.1520065,0.44495009,38874,0.794371379,734.102,"Kecimen"
"195",44156,307.7069822,186.0924236,0.796399015,45285,0.633605969,820.714,"Kecimen"
"202",61996,333.7476396,243.540245,0.683752754,63641,0.673137894,958.627,"Kecimen"
"206",74849,379.9250258,252.6171178,0.746920746,76154,0.735392657,1040.788,"Kecimen"
"216",62422,324.5569613,247.707867,0.646140518,64021,0.716062129,947.541,"Kecimen"
"219",72915,414.7180727,229.5557698,0.832834246,76912,0.679771405,1131.096,"Kecimen"
"220",49414,290.458237,219.4182435,0.65523977,51029,0.711033729,869.188,"Kecimen"
"222",64988,371.3536275,226.9099341,0.79160385,67847,0.67011755,1048.186,"Kecimen"
"223",56709,293.408498,247.7165958,0.535914821,58143,0.778285573,904.508,"Kecimen"
"230",76741,383.9821631,258.1339883,0.740319531,79198,0.745202952,1056.74,"Kecimen"
"238",52547,358.3657191,189.2067438,0.849262336,54649,0.703402763,929.471,"Kecimen"
"240",44460,294.624132,197.5565774,0.741875489,47486,0.647425443,849.225,"Kecimen"
"246",56096,313.3863101,232.2824399,0.671282476,58701,0.711769781,929.115,"Kecimen"
"248",57676,333.9700499,222.2744566,0.746351424,58991,0.688668657,926.255,"Kecimen"
"249",62064,352.3686704,227.8641444,0.762774955,64811,0.650566038,1004.245,"Kecimen"
"250",50274,305.3972558,212.2734472,0.718938975,52016,0.687507692,868.951,"Kecimen"
"256",41755,296.7883761,184.1913772,0.784115281,43362,0.691330839,804.559,"Kecimen"
"260",40403,289.2593164,179.2233834,0.784922337,41209,0.722204347,761.949,"Kecimen"
"261",62343,348.2887882,232.8200404,0.743740567,63897,0.705620699,979.447,"Kecimen"
"262",46008,296.8792842,212.0277194,0.699953594,48762,0.69527897,860.58,"Kecimen"
"264",50649,327.1109948,199.5409197,0.792393852,52462,0.766294481,875.267,"Kecimen"
"271",54968,300.9544323,234.38957,0.627246499,56851,0.75133953,893.644,"Kecimen"
"275",43901,304.1003495,191.2982735,0.777354334,46443,0.648741706,884.495,"Kecimen"
"276",33662,227.2937917,191.1090383,0.54134302,34787,0.792998657,699.415,"Kecimen"
"277",77043,388.6927274,257.5462902,0.748976897,80094,0.72693048,1112.212,"Kecimen"
"281",58857,320.8119081,235.3860453,0.679452185,60597,0.690364202,927.048,"Kecimen"
"294",81405,421.0948928,248.0867654,0.808025921,83634,0.713728344,1148.651,"Kecimen"
"295",70196,373.1976471,243.8811053,0.756934744,71937,0.690789927,1024.256,"Kecimen"
"296",69120,352.011403,250.8148535,0.701652699,70274,0.703439853,978.434,"Kecimen"
"297",56327,297.7657247,241.9344257,0.582962247,58178,0.727739018,915.496,"Kecimen"
"300",36113,257.6418527,181.1570788,0.71105609,37442,0.694480769,737.637,"Kecimen"
"301",87429,408.9260276,273.8879417,0.742565182,89063,0.703574648,1120.019,"Kecimen"
"303",69846,368.4507096,243.9751621,0.749358072,72585,0.676723637,1040.716,"Kecimen"
"304",81456,404.3163937,258.8920062,0.768107985,83499,0.725472034,1103.153,"Kecimen"
"313",65062,344.309794,242.6836332,0.709365401,65825,0.769218037,948.889,"Kecimen"
"316",46403,306.3041431,196.6171927,0.766786821,48631,0.637631572,843.96,"Kecimen"
"317",55746,280.3131243,254.6003304,0.418381972,56989,0.730654294,875.659,"Kecimen"
"320",57303,330.0249642,221.9197863,0.740157695,58973,0.716762355,919.044,"Kecimen"
"321",61289,376.3751871,208.7278098,0.832134559,63997,0.63947956,998.47,"Kecimen"
"324",72215,380.4147762,244.0280812,0.767140615,74175,0.720924428,1048.486,"Kecimen"
"327",76407,373.4424261,264.474304,0.706005483,79086,0.731251436,1074.702,"Kecimen"
"330",79106,404.5731673,252.0663638,0.782187815,81999,0.72851683,1100.85,"Kecimen"
"333",58591,356.4633214,212.119231,0.803676777,60664,0.784413741,970.932,"Kecimen"
"334",60313,339.6034558,227.7259242,0.741851492,62130,0.726680161,946.487,"Kecimen"
"340",44081,328.5871474,173.3469657,0.849522441,46287,0.638466441,867.003,"Kecimen"
"347",46397,310.7243688,192.9038367,0.783953309,48183,0.655278582,850.782,"Kecimen"
"352",88407,412.7569409,275.2848499,0.74510983,90865,0.717962253,1141.296,"Kecimen"
"356",69781,364.7445188,248.7961897,0.731248797,71504,0.693937827,1024.207,"Kecimen"
"360",63402,372.4843101,224.0094059,0.798953455,66639,0.676634437,1008.276,"Kecimen"
"363",64669,364.5828035,228.8007673,0.778561165,67524,0.655845605,995.692,"Kecimen"
"366",47602,296.4930361,206.2251984,0.718479434,49089,0.721187789,840.545,"Kecimen"
"373",87937,365.8369921,307.9116981,0.54000213,89581,0.711009953,1099.568,"Kecimen"
"376",65999,326.2987214,264.4148773,0.585951613,67971,0.676864225,998.793,"Kecimen"
"377",70977,362.0635747,256.3830246,0.70609608,73417,0.650222613,1033.87,"Kecimen"
"380",79100,413.4963654,246.4047067,0.803054658,81839,0.655148423,1113.607,"Kecimen"
"382",31237,262.3470571,155.0257428,0.806731223,32564,0.613910617,718.847,"Kecimen"
"384",66797,358.1989179,240.7826944,0.740366108,68732,0.697662517,1006.375,"Kecimen"
"386",46810,297.8913729,201.5349368,0.736407405,48300,0.721307939,836.109,"Kecimen"
"391",49821,319.0820631,202.2364946,0.773491106,51829,0.677975097,907.423,"Kecimen"
"393",51539,330.7474868,200.9579393,0.794252979,53060,0.72541099,894.039,"Kecimen"
"394",63827,393.251665,209.1461847,0.846846105,66445,0.66740908,1047.037,"Kecimen"
"400",67852,353.1242534,247.3352308,0.713731082,69587,0.729512956,983.385,"Kecimen"
"401",49336,338.4814606,193.0052021,0.821499608,52619,0.656552752,909.681,"Kecimen"
"403",51304,350.0425817,189.765438,0.840300429,52949,0.660997732,897.111,"Kecimen"
"407",66063,354.0975248,238.5102532,0.739121421,67503,0.762676056,971.938,"Kecimen"
"412",76531,407.6686396,241.3995271,0.805830387,78857,0.731227487,1068.375,"Kecimen"
"417",33615,254.47223,171.0010504,0.740566437,35376,0.788048575,719.935,"Kecimen"
"425",41458,281.8248824,192.6741159,0.729794954,42792,0.682773386,782.362,"Kecimen"
"430",67404,349.011262,247.6902693,0.704512743,69607,0.745026085,997.276,"Kecimen"
"431",57838,350.2854586,214.8024505,0.789911277,59449,0.674039717,939.149,"Kecimen"
"434",74254,402.5264818,241.2834392,0.800432782,76702,0.726470473,1080.034,"Kecimen"
"443",58545,325.1886359,231.9557989,0.700862765,60738,0.700500144,966.758,"Kecimen"
"445",67874,360.0234655,243.2719738,0.737166231,69889,0.678319442,1035.277,"Kecimen"
"446",61200,323.1744104,246.2883243,0.647469874,64553,0.707449022,997.264,"Kecimen"
"447",87089,396.4868571,280.2454497,0.70739191,88754,0.742231578,1154.562,"Kecimen"
"456",154242,585.9280742,337.5992453,0.817323783,158371,0.7216,1530.315,"Besni"
"457",134303,600.7662711,288.3849296,0.877252896,138133,0.74243622,1497.515,"Besni"
"458",112378,528.4003254,272.7787203,0.856447002,115602,0.614705496,1366.74,"Besni"
"461",107178,508.7478956,270.4624159,0.84698069,110611,0.632908552,1325.947,"Besni"
"470",195383,755.0129141,335.7904519,0.895655767,204472,0.728769116,1893.414,"Besni"
"472",120255,471.8135294,326.5463364,0.721793107,123486,0.723886976,1322.814,"Besni"
"474",157877,613.8737446,328.3133366,0.844964592,161901,0.641322804,1604.103,"Besni"
"480",189637,636.7524368,403.7193275,0.773309506,209580,0.613785469,1870.28,"Besni"
"482",75173,365.8032415,267.5827815,0.681848156,78359,0.67995405,1087.034,"Besni"
"485",153824,536.606993,369.2864544,0.725532478,159063,0.739083641,1582.146,"Besni"
"490",83567,465.1014658,230.9042314,0.868059652,86859,0.609222133,1199.017,"Besni"
"491",171256,531.3732054,412.3828168,0.630646744,174277,0.70191488,1559.214,"Besni"
"494",72606,424.472024,223.232633,0.850542335,76975,0.683852617,1117.107,"Besni"
"496",146268,588.0092142,321.6079813,0.83716934,150416,0.695421481,1535.287,"Besni"
"500",100319,480.7789636,267.6688956,0.830686786,104255,0.639614136,1289.209,"Besni"
"509",133101,641.5097389,265.3139704,0.910468935,136793,0.582496357,1544.712,"Besni"
"513",101661,440.9818348,295.5307052,0.742211915,105429,0.713290393,1268.05,"Besni"
"515",166275,602.3077749,356.2362867,0.806340027,168292,0.719282081,1580.961,"Besni"
"518",97375,468.9040381,268.2670249,0.820173426,100169,0.694716941,1244.252,"Besni"
"520",86715,440.4743232,254.3360345,0.816451523,89920,0.735371438,1173.259,"Besni"
"527",69579,398.5966833,224.5785157,0.82616862,71648,0.719385856,1071.644,"Besni"
"529",114289,580.6008301,261.7636982,0.892599892,120657,0.649487407,1455.893,"Besni"
"531",90559,473.5758459,246.9199675,0.853315591,95477,0.673231039,1328.744,"Besni"
"534",131816,532.7314252,322.6830027,0.795682271,138992,0.722192393,1488.84,"Besni"
"536",77012,425.2194272,239.4695614,0.826343087,81325,0.654279767,1131.53,"Besni"
"538",82853,430.1149972,251.1757003,0.811772822,85292,0.746436873,1139.84,"Besni"
"541",168620,730.7609597,295.5004623,0.914593881,172003,0.796730297,1725.003,"Besni"
"543",140897,588.0709185,308.0257871,0.851847299,146231,0.733999104,1536.473,"Besni"
"545",103666,456.3827046,293.9224346,0.765003405,107992,0.647265235,1332.203,"Besni"
"546",68231,394.6465339,228.161,0.815937489,71591,0.664527251,1099.228,"Besni"
"548",117077,496.1307567,314.547414,0.773332196,123305,0.70883156,1419.16,"Besni"
"549",123056,618.1418151,256.9501109,0.909510252,128101,0.641284069,1522.028,"Besni"
"554",83693,437.734856,245.4242627,0.828040175,87230,0.702859542,1177.858,"Besni"
"562",144084,555.9210209,332.1238891,0.801921074,149076,0.729421056,1506.255,"Besni"
"563",84975,511.8746638,215.4482203,0.907106886,88730,0.629612341,1246.361,"Besni"
"568",155057,610.6779718,325.5076812,0.846098403,159681,0.761057039,1564.694,"Besni"
"570",91146,498.3917995,241.896779,0.874317368,97149,0.672892643,1293.559,"Besni"
"572",79492,422.5673288,243.1162956,0.817920329,82708,0.637353474,1122.831,"Besni"
"575",193558,769.4251488,321.6858345,0.90840748,197851,0.605915848,1865.297,"Besni"
"576",146175,592.9085046,319.0201112,0.842906798,149156,0.632833301,1529.068,"Besni"
"581",206720,713.4725493,373.6425439,0.851905369,210114,0.780576219,1866.091,"Besni"
