"","Area","MajorAxisLength","MinorAxisLength","Eccentricity","ConvexArea","Extent","Perimeter","Class"
"1",87524,442.2460114,253.291155,0.819738392,90546,0.758650579,1184.04,"Kecimen"
"3",90856,442.2670483,266.3283177,0.798353619,93717,0.637612812,1208.575,"Kecimen"
"6",49242,318.125407,200.12212,0.777351277,51368,0.658456354,881.836,"Kecimen"
"7",42492,310.1460715,176.1314494,0.823098681,43904,0.665893562,823.796,"Kecimen"
"9",42256,323.1896072,172.5759261,0.845498789,44743,0.698030924,849.728,"Kecimen"
"10",64380,366.9648423,227.7716147,0.784055626,66125,0.664375716,981.544,"Kecimen"
"12",43725,301.3222176,186.9506295,0.784258452,45021,0.697068248,818.873,"Kecimen"
"13",43441,276.6108288,201.8131355,0.683882337,45133,0.690855598,803.748,"Kecimen"
"14",76792,338.8575454,291.3592017,0.510583813,78842,0.772322237,1042.77,"Kecimen"
"15",74167,387.7989307,247.8581228,0.769089738,76807,0.680181585,1084.729,"Kecimen"
"17",64670,403.0839752,206.4846437,0.858829168,66419,0.75677257,1028.445,"Kecimen"
"18",64762,354.2939396,235.7524629,0.746473726,66713,0.694998015,981.509,"Kecimen"
"19",43295,304.2844667,182.8110368,0.799406959,44714,0.713838189,814.68,"Kecimen"
"22",57346,330.4784385,222.4437485,0.739555027,59365,0.723608833,928.272,"Kecimen"
"23",82028,397.1149759,268.3337727,0.737169367,84427,0.686375085,1106.355,"Kecimen"
"25",96277,447.1345225,275.2161542,0.788128405,97865,0.704057157,1181.921,"Kecimen"
"27",73167,340.055218,276.0151772,0.58410581,74545,0.778736856,1010.474,"Kecimen"
"28",60847,336.9238696,231.4656959,0.726660229,62492,0.69858783,964.603,"Kecimen"
"29",81021,347.7500583,297.6406265,0.517134931,82552,0.757559607,1063.868,"Kecimen"
"30",59902,358.5919148,222.9020273,0.783331958,63250,0.744124224,982.788,"Kecimen"
"33",75329,364.2307798,265.8668635,0.683510499,77541,0.723079729,1075.792,"Kecimen"
"35",46427,253.8420284,235.9068241,0.369212459,48275,0.684219059,844.312,"Kecimen"
"36",40861,249.7402266,213.5732718,0.51832833,43096,0.743089401,784.912,"Kecimen"
